Top,Time,ProcessId,Name,Cpu(%),Memory(KB),HandleCount
4,2014-4-1 9:17:14,4,System,0.78125,52,1252
5,2014-4-1 9:17:14,1704,svchost,0,6028,174
1,2014-4-1 9:17:16,6364,chrome,1.953125,140960,136
2,2014-4-1 9:17:16,5884,chrome,1.171875,93840,1031
3,2014-4-1 9:17:16,2100,chrome,0.78125,86856,124
4,2014-4-1 9:17:16,1212,wandoujia_helper,0.390625,168344,374
5,2014-4-1 9:17:16,4,System,0.390625,52,1252
1,2014-4-1 9:17:18,2100,chrome,0,87136,124
2,2014-4-1 9:17:18,1116,vntldr,0,956,38
3,2014-4-1 9:17:18,2220,alicnotify,0,4780,191
4,2014-4-1 9:17:18,1704,svchost,0,6028,174
5,2014-4-1 9:17:18,5480,chrome,0,77300,122
1,2014-4-1 9:17:20,5884,chrome,0.78125,93844,1020
2,2014-4-1 9:17:20,1440,AppleMobileDeviceService,0.390625,12792,193
3,2014-4-1 9:17:20,1704,svchost,0,6028,174
4,2014-4-1 9:17:20,2220,alicnotify,0,4780,191
5,2014-4-1 9:17:20,1116,vntldr,0,956,38
1,2014-4-1 9:17:22,5884,chrome,7.421875,93800,1020
2,2014-4-1 9:17:22,6364,chrome,4.6875,143256,136
3,2014-4-1 9:17:22,796,services,0.78125,5388,439
4,2014-4-1 9:17:22,2364,jqs,0.78125,7940,206
5,2014-4-1 9:17:22,1212,wandoujia_helper,0.78125,168404,374
1,2014-4-1 9:17:24,5884,chrome,10.546875,91308,1036
2,2014-4-1 9:17:24,6364,chrome,5.859375,142620,136
3,2014-4-1 9:17:24,4132,devenv,1.5625,234464,1089
4,2014-4-1 9:17:24,4,System,1.171875,52,1260
5,2014-4-1 9:17:24,1384,avguard,0.78125,176580,207
Top,Time,ProcessId,Name,Cpu(%),Memory(KB),HandleCount
